Standard Bangla,Chittagong,Noakhali,Barishal
তুই তো মাগির চেয়ে ও খারাপ,তুই তো মাগীর তুনো হারাপ।,তুই তো মাগির থেকেও খারাপ।,তুই তো মাগির চেয়ে ও খারাপ।
তুই মাগি মরে যাওয়া উচিৎ। সখকত দেখ।আমাদের মত অবিবাহীত ছেলে কি নজরে আসেনি,তুই মাগির তুন মরি যন দরহার। সখ হত চা। আরার ডইল্লে আবিয়াইত্তে বেডা কি চগুত ন বাজে দে না।,"তুই মাগি, মরে যাওয়া উচিৎ। সখকত দেখ। আমাদের মত অবিবাহিত ছেলে কি নজরে আসেনি?",তুই মাগি ম‌ইরা যাওয়া উচিৎ। সখকত দেখ।মোগো মত অবিবাহীত ছেলে কি নজরে আসেনি।
তুই যে পতিতা প্রকাশ্যে এসে সেটাই প্রমান করলি,তুই বেষ্যা দে ইয়েন ফকাইস্যে ফমান গইজ্জুছ।,"তুই যে পতিতা, প্রকাশ্যে আই হেটাই প্রমান কইচ্ছ।",তুই যে পতিতা প্রকাশ্যে এসে ওডাই প্রমান হরলি।
তুই সালা একটা বড়ু বড়ু পাহাম কা। তার মানে তুই একটা বেআক্কল,"তুই আলা এক্কান বড়ু বড়ু পাহাম কা, তার মানে তুই এক্কান বেআক্কল।","তুই হালা, এইকা পাহারম কা? হের মানে তুই ইগ্গা বেআক্কল।",তুই হালা এউক্কা বড়ু বড়ু পাহাম কা। তার মানে তুই এউক্কা ব্যাক্কল।
তুইতো একটা কুত্তার বাচ্চা। তুইও নুসরাতের খুনের সাথে জড়িত ছিলি মনে হয় মাদারচোদ। নুসরাতের জলন্ত দেহ দেখে তোর চোখে পানি আসিনি।খানকির পোলা ভিডিও বানাস কাদের নিয়ে।মাদারচোদ,"তুইতো কুত্তোর বাইচ্চে। তুইও নুসরাতর খুনুত গরিত আছিলি, ফান লার মাদারিচুদ। নুসরাতর জলন্ত গা দেহিয়েরে তোর চগুত ফানি ন আইয়্যি?","তুইতো ইগ্গা কুত্তার বাইচ্চা। তুইও নুসরাতের খুনের লগে জড়িত ছিলি মনে হয়, মাদারচোদ। নুসরাতের জলন্ত দেহ দেখে তোর চোখে হানি আসেনো? খানকির পোলা, ভিডিও বানাস কাগোরে লওই। মাদারচোদ।",তুইতো একখান কুত্তার বাচ্চা। তুইও নুসরাতের খুনের লগে জড়িত আছেলেি মনে অয় মাদারচোদ। নুসরাতের জলন্ত দেহ দেইখ্যা তোর চোখে পানি আহে নাই।খানকির পোলা ভিডিও বানাস কাদের নিয়ে।মাদারচোদ।
তুমার খালি চোদার ইচ্ছা,তোত্তে উদু চুদার ধান্ধা।,তুমার খালি চোদার ইচ্ছা।,তোমার খালি চোদার ইচ্ছা।
তোর ঘরে মা বোন নাই একদিন তোর মেয়ের সাথে এরকম হবে তখন বুঝবি লুচ্চা কোথাকার।এদেরকে ধরে ফাসি দেয়া উচিত।মনুষের সামনে মুখ দেখায় কিভাবে,"তুর ঘরত মা বইন নাই হনো দিন, তুর মাইফ্যার লয় এইল্লে অইলি বুঝিবি লুচ্চো হত্তুন। ইতারারে ধরি ফাসি অন দরহার। মাইনষুরে মুখ দেহছ কেনে?","তোর ঘরে মা-বোন নাই? একদিন তোর মেয়ের সাথে এইচ্ছা হবে, হেরতে বুঝবি লুইচ্চা কোথাকার। এগুনরে ধরি হাসি দেন উচিত। মানুষের সামনে মুখ দেখায় কেন না?",তোর ঘরে মা বোন নাই একদিন তোর মেয়ের লগে এরহম হবে তহন বুঝবি লুচ্চা কোম্মের।এদেরকে ধ‌ইরে ফাসি দেয়া উচিৎ।মনুষের সামনে মুখ দেহায় কিভাবে।
তোর মাকে চুদি তুই ভিডিও কেটেছিস কেনো,তুর মারে চুদি ভিডিও কিল্লাই হাইট্টুছ?,"তোর মাকে চুদি, তুই ভিডিও কাইটচ্ছছ কিরলাই।",তোর মারে চুদি তুই ভিডিও কেটেছিস কেমনে।
তোরা বাল ছিরচ,তুরা বাল আরছ।,তোরা বাল ছিরচ।,তোরা বাল ছিরচ।
দেখতে ডাকাতের মত,দেইক্তে ডাহাইতুর ডইল্লে লার।,দেখতে ডাকাতের লানি।,দেখতে ডাকাতের নাহান।
দেশের মানুষ এখন এত বোকা নয় হালার পুত এই বুড়া বয়সে এইসব না কইরা রেলমন্ত্রীর মত আবার বিয়া কর,"দেশর মানুষ এহন এইল্লে ফল নয়, আলার ফুয়া এই বুরা বয়সত ইন ন গরি রেল মন্ত্রির ডোইল্লে আবার বিয়া গর।","দেশের মানুষ ওন এত বোকা না। হালার হুত, এই বুড়া বয়সে এইসব না করি। রেলমন্ত্রীর লানি, আবার বিয়া কর।",দেশের মানু এহন এত বোলদ না। হালার পুত এই বুড়া বয়সে এইসব না হইর‍্যা রেলমন্ত্রীর মত আবার বিয়া হর।
ধোনের কথা বলে,চিয়্যের হতা হছ।,ধোনের কথা কচ্স।,ধোনের কতা কয়।
পাগল ছাগল তোদের কাহিনীর সাথে বরগুনার বাস্তব কাহিনী একদম অমিল সালা বরগুনার পোলা বাল বানাইছ কিছু জানো না লাফ দিয়ে উঠে ভিডিও বানাইতে গেলি রাম পাঁঠা গুলা,"ফল ছল তোরার কাহিনির ওয়ারে বরগুনার বাস্তব কাহিনি এব্বেরে অমিল আলার ফুয়া বাল বানাইয়্যুচ। কিছু জানছ? ফাল দিয়েরে ভিডিও বানাইতু গেইয়্যুছ, ফাডা হত্তুন।","হাগল ছাগল, তোগোর কাহিনীর লগে বরগুনার বাস্তব কাহিনী একদম অমিল। হালা বরগুনার হোলা, বাল বানাইছ, কিছু জানো না। লাফ দিয়ে উঠে ভিডিও বানাইতে গেলি, রাম পাঁঠা গুন।","পাগল ছাগল, তোগো কাহিনীর লগে বরগুনার বাস্তব কাহিনী একদম অমিল। হালা বরগুনার পোলা বাল বানাইছে, কিছু জানে না, লাফ দিয়া উঠে ভিডিও বানাইতে গেলি রাম-পাঁঠাগুলা।"
পাপ বাপকে ছাড়ে না কিন্তু যতই হোক স্বজন তো বুক ফেটে যায়।। কিন্তু কি করা এমন কুলাংগার দুনিয়াতে থাকার চেয়ে না থাকা ভালো যারা এমন করে মানুষ মারতে পারে তারা মানুষ না!!!!,"ফাপ বাফরেও ন ছারে, কিন্তু যেইল্লে অইবু অক আত্তিয় তো এতাল্লাই বুক ফাডের। কিন্তু কিজ্জুম এইল্লে কুলাঙ্গার দুনিয়াত থাগনত্তুন ন থাগন ভালা। যারা এইল্লে মানুষ মারিত ফারে তারা মানুষ ন।","পাপ বাপকে ছাড়ে না, কিন্তু যতই হোক স্বজন তো বুক ফেটে যায়। কিন্তু কি করা? এমন কুলাঙ্গার দুনিয়াতে থাকার চেয়ে না থাকা ভালা, যারা এমন করে মানুষ মারতে পারে। হেগুণ মানুষ ন।",পাপ বাপকে ছাইড়া দেয় না কিন্তু যতই হোক স্বজন- তো বুক ফাইটা যায়।। কিন্তু কি হরে এমনরেলাংগার দুনিয়াতে থাহার চাইতে না থাহা ভালো যারা এমন হরে মানু মারতে পারে হেরা মানু না।
পুলিশের আস্কারা পেয়ে শালারা আরও বেশি লাই পাইছে আগে ধইরা পুলিশ নামে কিছু সন্রাস আছে ওদেরকে শায়েস্তা করা উচিত,"ফুলিশর আস্কারা ফাই মাগীর ফুয়াইন আরো বেষি লাই ফাইয়্যি আগদি ফুলিশ নামর কিছু সন্ত্রাসী আছে, ইনুরে সায়েস্তা গরা দরহার।","পুলিশের আশ্রয় পাই হালারা আরও বেশি লাই পাইছে। আগে ধইরা, পুলিশ নামে কিছু সন্ত্রাস আছে। ওদেরকে শায়েস্তা করা উচিত।",পুলিশের আস্কারা পাইয়া হালারা আরও বেশি লাই পাইছে আগে ধইরা পুলিশ নামে কিছু সন্রাস আলহে ওদেরকে শায়েস্তা হরা উচিৎ।
প্রতিবন্ধী হিজরা৷ জংগী মাদারচোদ জনগন।।আমি নিজেও অন্তর্ভুক্ত।। খালি পারে ধরশন করতে।।সালা। পুরুশ হলে জন এ যথেষট।,"ফতিবন্দি হিজারা, জঙ্গি মাদারিসুদ অক্কল, আই নিজেও, উদু ধর্সন গরিত ফারে দে, সুদানির মদফুয়া অইলি একজনই যতেষ্ট।",প্রতিবন্ধী হিজরা! জঙ্গী মাদারচোদ জনগণ! আই নিজেও অন্তর্ভুক্ত। খালি হারে দর্শন করতে। হালা! হুরুশ হইলে জন এ যথেষ্ট।,প্রতিবন্ধী হিজরা৷ জংগী মাদারচোদ জনগন। মুই নিজেও অন্তর্ভুক্ত।। খালি পারে ধরশন হরতে।।হালা। পুরুশ হলে জন এ যথেষট।
প্রতিমন্ত্রীকে ভিডিও টি দেখানো উচিৎ। তাহলে আর তদন্ত দরকার হবে না। শালার পোলা ভিডিও থাকার পরও তদন্ত দরকার।,"ফদান মন্ত্রীরে ভিডিও ইবে দ্দেহন উচিত, তইলি আর তদন্ত ন লাগিবু, আলার ফুয়ার ভিডিও থাগিবের ফরো তদন্ত লাগে।","প্রতিমন্ত্রীকে ভিডিওটা দেখান উচিৎ। তাহলে আর তদন্ত দরকার হইত না। হালার হোলা, ভিডিও থাকার পরও তদন্ত দরকার।",প্রতিমন্ত্রীকে ভিডিও ডা দেহানো উচিৎ। তাইলে আর তদন্ত দরকার হবে না। হালার পোলা ভিডিও থাহার পরও তদন্ত দরকার।
ফাসি দাও শালিকে,আলিরে ফাসিত দে।,ফাঁসি দাও হালিকে।,ফাসি দাও হালিরে।
ফাসি দে সুয়ার এর বাচ্চা দের,শুয়োরর বাইচ্চে অক্কলরে ফাসিত দে।,"ফাঁসি দে, শুয়ারের বাচ্চা গো।",ফাসি দে সুয়ার এর বাচ্চা দের।
ফাঁসি না হইতেই হয়ে গেল বোকাচোদা ভুয়া খবর,"ফাসি ন অইতে ন অইতে অই গেইয়্যি, বোকাচুদা ভুয়া হবর।",হাসি না হইতেই হয়ে গেল বোকাচোদা ভুয়া খবর।,ফাঁসি না হইতেই অয়ে গেল বোকাচোদা ভুয়া খবর।
ফাসি হোক মাগির পোলাগো,ফাসি ওকে মাগির ফুয়া অক্কলর।,হাসি হোক মাগির হোলাগো।,ফাসি হোক মাগির পোলাগো।
বরগুনাতে মানুষ থাকেনা থাকে সব জানোয়ার এর দল আর ছেলেরা সব হিজরা,"বরগুনাত মানুষ ন্থাগে, থাগে দে জানোয়ার অক্কলর দল ফুয়া ছা বেক ইজারা।","বরগুনাতে মানুষ থায়না, থায় সব জানোয়ার এর দল, আর হোলারা সব হিজরা।",বরগুনাতে মানু থাহেনা থাহে সব জানোয়ার এর দল আর ছেলেরা সব হিজরা।
বরগুনার সব পুরুষ দিয়ে বৌ মাগিকে চুদানো হোক তাও মোনে হয় বৌ মাগির জালা মিটবে না,"বরগুুনার ফমদফুয়া অক্কলরে বেয়াক বউ মাগিরে চুদা দরহার, তারফরো বউ মাগী অক্কলর জালা ন মিটিবু।","বরগুনার সব পুরুষ দিয়ে বৌ মাগিকে চুদানো হোক, তাও মোনে হয় বৌ মাগির জালা মিটবে না।",বরগুনার সব পুরুষ দিয়ে বৌ মাগিরে চুদানো হোক তাও মনেঅয় বৌ মাগির জালা মিটবে না।
বাইঞ্চোদের কোনো ব্যপারে কোনো রিয়েলাইজ করা যাবে,"বাইঞ্চোদর হনো বেফারত হোন, রিয়েলাইজ গরা যাইবু।",বাইঞ্চোদের কোনো ব্যপারে কোনো রিয়েলাইজ করা যাবে?,বাইঞ্চোদের কোনো ব্যপারে কোনো রিয়েলাইজ হরা যাবে।
বাল হবে বাল��,বাল অইবু বাল।,বাল হবে বাল।,বাল অইবে বাল।
বাংলাদেশ সরকার বাল ফালাবে।সরকারি আওয়ামিলিগ এর কুত্তা তাই সরকার কোন বাল ই ফালাবে না তা জানা কথা,"বাংলাদেশ সরকার বাল ফালাইবু। সরকারি আওয়ামিলিগুর কুত্তো এতাল্লাই সরকার হোন বালই ন ফালাইবু, ইয়েন জানা হতা।","বাংলাদেশ সরকার বাল ফালাবে। সরকারি আওয়ামিলিগ এর কুত্তা, হিরলাই সরকার কোন বাল ই ফালাবে না, তা জানা কথা।",বাংলাদেশ সরকার বাল ফালাবে।সরকারি আওয়ামিলিগ এর কুত্তা তাই সরকার কোন বাল ই ফালাইবে না তা জানা কতা।
বিচার হবে কঠিন বিচার সব দোষ ক্যামেরার।। কেন এমন ভিডিও হলো হাসাইলি রে মাগী,"বিচার অইবু কঠিন বচার, দোষ বেজ্ঞিন ক্যামেরার, কিল্লাই এইল্লে ভিডিও অইয়্যি, ফাসাইয়্যি মাগীরে।","বিচার হবে কঠিন বিচার, সব দোষ ক্যামেরার। কেন এমন ভিডিও হলো? হাসাইলি রে মাগী।","বিচার হবে কঠিন বিচার সব দোষ ক্যামেরার।। কেন এমন ভিডিও অইলো, হাসাইলি রে মাগী।"
বোকাচোদার বাচ্চা বোকাচোদা আমার ধোনের ভিডিও বানাইছে,হেডার ফুয়া হেডা আর চইয়্যের ভিডিও বানাইয়্যি।,"বোকাচোদার বাচ্চা বোকাচোদা, আয়র ধোনের ভিডিও বানাইছে।",বোকাচোদার বাচ্চা বোকাচোদা মোর ধোনের ভিডিও বানাইছে।
ভাই এসব পুরুনো নিয়োচ দিয়ে কোন লাপ নেই সালি মিন্নি কেন রিপাতের বাইকে চড়ে জাইনি চলে গেলে তো রিপাত শরিপ বেচে জেত এই ডাইনি আগে তেকে সব টিক করে রেকেছে মিন্নি হানকি রুপ দেখিয়ে ছেলেদের পাগল বানাই আমি মনে করি এর ফাসি হওয়া অতি জরুরি,"ভাই এইল্লে ফুরান হবর দি লাভ নাই, আলি মিন্নি কিল্লাই রিফাতর বাইকুত চরি ন যাই, যাইলি তো রিফাত শরিফ বাচি যাইতু। এই ফেতিনি আগত্তুন বেজ্ঞিন ঠিক গরি লাইক্কিল, মিন্নি হাঙ্কি রুপ দেহায় ফুয়া ছারে ফল বানায়। আই মনে গরি ইতির ফাসি অন জরুরি।","ভাই, এগুন পুরুনো নিয়োচ দিয়ে কোন লাপ নেই। হালি মিন্নি কেন রিপাতের বাইকে চড়ে জায়নো চলে গেলে? তো রিপাত শরিপ বাচি জেত। এই ডাইনি আগে তেকে সব টিক করে রইকছে। মিন্নি হানকি রুপ দেখাই, হলাদের হাগল বানাই। আই মনে করি, এর ফাসি হওয়া অতি জরুরি।",ভাই এসব পুরুনো নিয়োচ দিয়ে কোন লাভ নেই। হালি মিন্নি কেন রিফাতের বাইকে চড়ে জাইনি চলে গেলে তো রিফাত শরিপ বেচে জেত এই ডাইনি আগে তেকে সব ঠিক হইর‍্যা রাকছে। মিন্নি হানকি রুপ দেখিয়ে পোলাগো পাগল বানাই মুই মনে হরি এর ফাসি হওয়া অতি জরুরি।
ভাই মাগি যে কাহিনি করেছে মরার আগেও ভুলতে পারবনা এই মাগির কথা,"ভাই মাগি যে কাহিনি শুরু গইজ্জি, মরিবের আগেও আই ফরিন্ন ফাইজ্জুম মাগির হতা।","ভাই, মাগি যে কাহিনি কইরছে, মরার আগেও ভুইলতাম পারব না এই মাগির কথা।",ভাই মাগি যে কাহিনি হরেছে মরার আগেও ভুলতে পারবনা এই মাগির কতা।
ভাই।এটা ইন্ডিয়ার একটা চক্রান্ত খবর নিয়ে দেখবেন।তার ওই পদে কনো মালাউন বশে গেছে এভাবেই ওরা এক এক করে সকল পদ কেড়ে নিবে। আল্লাহ আমাদের হেফাজত করুন।,"ভাই ইবে ইন্ডিয়ার চক্রান্ত হবর লই চন, তার ফদত হোন মালাউন বইসসি। এইল্লে গরি ইতারা এক এক গরি বেক ফদ আতাই লইবু। আল্লাহ আরার হেফাজত গরক।","ভাই, এটা ইন্ডিয়ার ইগ্গা চক্রান্ত। খবর নিয়ে দেইখবেন। তার ওই হদে কনো মালাউন বশে গেছে। এভাবেই হেগুন এক এক করে সকল পদ কেড়ে নিবে। আল্লাহ আন্ডারে হেফাজত করেন।",ভাই।এটা ইন্ডিয়ার এউক্কা চক্রান্ত খবর নিয়ে দেখবেন।তার ওই পদে কনো মালাউন বশে গেছে এভাবেই ওরা এক এক হরে সকল পদ কেড়ে নিবে। আল্লাহ মোদের হেফাজত করুন।
ভাইয়া এই কুকুরের বাচ্চাদেরকে ধরে জবাই করো সরকারের হাতে চলে যাও যত তাদের ফাঁসি দেয় তাদের ফাঁসি দেওয়া উচিত ছেলেদের জায়গায় মেয়েরা কেন ও যদি এতই ভালো হতো তাহলে ওখানে কি করে দুই গালে দুইটা থাপ্পড় দিয়ে মাথাটা উঁচু করে দেন তারপর ঠিক হয়ে যাবে,"ভাই এই কুত্তোর বাইচ্চে অক্কলরে ধরি জোয়ারাই দন, সরকারর হাছে যন গুই যাতে ইতারার ফাসি অয়। ইতারার ফাসি অন দরহার, মদফুয়া অক্কলর জাগাত মাইফুয়া অক্কল কি? ইতি যদি ভালা অইতু, তইলি এন্ডে কি গরে দুই গালত দুয়্যো চোয়ার মারু উজু গরি দন ঠক অই যাইবু।","ভাইয়া, এই কুত্তার বাচ্চাদেরকে ধরি জবাই করি, সরকারের হাতে চলি। যা যত তাদের হাসি দেয়, তাদের হাসি দেওয়া উচিত। হলাদের জায়গায় মাইয়ারা কেন? ও যদি এতই ভালো হতো, তাহলে ওখানে কি করে দুই গালে দুইটা থাপ্পড় দিয়ে মাথাটা উঁচু করে দেন, তারপর ঠিক হয়ে যাবে।",ভাইয়া এই কুত্তাের বাচ্চাদেরকে ধরে জবাই করো। সরকারের হাতে চলে যাও যত তাদের ফাঁসি দেয় তাদের ফাঁসি দেওয়া উচিৎ। পোলাগো জায়গায় মেয়েরা কেন ও যদি এতই ভালো হতো তাহলে ওখানে কি হরে দুই গালে দুইটা থাপ্পড় দিয়ে মাথাটা উঁচু হরে দেন তারপর ঠিক হয়ে যাবে।
ভিডিও দেখলাম সবাই তাও বলছে সাজানো ষড়যন্ত্র বজ্জাত ডিসি ঘরের বউ এখন ডাল ভাত পরের বউ নিয়ে মাখন খাও শালা । মহিলা টাও খারাপ,"ভিডিও চাইলাম, ত বেজ্ঞুনে হর সাজানো ষড়যন্ত্র, ডিসিস্র ঘরর বউএহন ডাইল ভাত ফরর বউ লই মাখ হছ আলা। বেডী ইবেও হারাপ।","ভিডিও দেখলাম, সবাই তাও বলছে সাজানো ষড়যন্ত্র। বজ্জাত ডিসি, ঘরের বউ এখন ডাল ভাত, পরের বউ নিয়ে মাখন খাচ। হালা! মহিলা গাও খারাপ।",ভিডিও দেখলাম সবাই তাও বলছে সাজানো ষড়যন্ত্র বজ্জাত ডিসি ঘরের বউ এহন ডাল ভাত পরের বউ নিয়ে মাখন খাও হালা । মহিলা টাও খারাপ।
ভোদার পোলা তুই কি ডিচি আর সাধনার পাপের ফসল নাকি,হেডাার ফুয়া তুই কি ডিসি আর সাধনার ফাপর ফসল নাকি?,"ভোদার হোলা, তুই কি ডিচি আর সাধনার পাপের ফসল নাকি?",ভোদার পোলা তুই কি ডিচি আর সাধনার পাপের ফসল নাকি।
মইরা যা মাগী।।।,মরি যা মাগী।,মইরা যা মাগী।,মইরা যা মাগী।
মজা কর শালি,মজা গর আলি।,মজা কর হালি।,মজা কর শালি।
মনডা চায় তার বিচি দুইটা ইটের উপর রাইখা পদ্মা সেতুর পিলার দিয়া একটা চাফ দিতে,মনে হদ্দে ইতের বিচে দুয়্যো ইডুর উদ্দি লাহি ফদ্দা সেতুর ফিলার দি চাপ দিবেল্লাই।,"মনডা চায়, তার বিচি দুইটা ইটের উপর রাখি, পদ্মা সেতুর পিলার দি একটা চাফ দি।",মনডা চায় তার বিচি দুইটা ইডের উপর রাইখা পদ্মা সেতুর পিলার দিয়া এউক্কা চাফ দিতে.
মনে হলো একটা সুটিং হচ্ছে আর আবাল চোদা পাবলিক দাঁড়িয়ে দাঁড়িয়ে দেখছে।,লাগেদ্দে সুটিং অর আবাল চোদা ফাপ্লিক তিয়াই তিয়াই চার।,"মনে হইলো এগ্গা সুটিং হচ্ছে, আর আবাল চোদা পাবলিক দাঁডাই দাঁড়াই দেখের।",মনে অইলো এউক্কা সুটিং হচ্ছে আর আবাল চোদা পাবলিক দাঁড়াইয়ে দাঁড়াইয়ে দেখছে।
মাগি আর মাগির ছেলেদের কে আগুনে নিক্ষেপ করা হওক কুত্তা র বাচ্চারা,"মাগী এদ্দের মাগীর ফুয়া অক্কলরে অইনুত মেলা দন দরহার, কুত্তোর বাইচ্চে অক্কল।","মাগি আর মাগির হলাদের গুনরে আগুনে নিক্ষেপ করওন হওক, কুত্তা র বাইচ্চারা।",মাগি আর মাগির পোলাগো কে আগুনে নিক্ষেপ করা হওক কুত্তা র বাচ্চারা।
মাগি কি বলে মাগির ফাসি চাই,মাগী কি হয়? মাগীর ফাসি চাই।,মাগি কি বলে? মাগির ফাসি চাই।,মাগি কি কয় মাগির ফাসি চাই।
মাগি কি বলে রে,মাগী কি হদ্দে?,মাগি কি বলে রে?,মাগি কি কয় রে।
মাগি জানতো সবকিছু মাগি ভাবতে পারে নাই রিফাত মারা যাবে এটাই সত্য কথা,"মাগী বেক কিছু জাইন্তু, কিন্তু ইতি ভাবিন্নফারে দে রিফাত মরি যাইবু। ইয়েন সইত্য।","মাগি জানতো সবকিছু। মাগি ভাবি, হারেন রিফাত মারি যাইব, এগাস ই হাসা কথা।",মাগি জানতে সবকিছু মাগি ভাবতে পারে নাই রিফাত মইরা যাবে এডাই খাটি কতা।
মাগি তোরে কিছু করেনায় চোদ ছে,মাগী তোরে কিছু ন গরে চুইদ্দি।,"মাগি, তোরে কিছু করেনো চোদ ছে।",মাগি তোরে কিছু হরেনায় চোদছে।
মাগি বলে কি।।।।চোদা খাইতে তো মজা লাগছে।।।।আমারে একবার দেস।।।,"মাগী কিি হয়? চোদা হাইয়েনে গম লাইজ্ঞি, আরে একবার দিছ।","মাগি বলে কি? চোদা খাইতে তো মজা লাগছে? আরে, একবার দিচ।",মাগি কয় কি।চোদা খাইতে তো মজা লাগজে। মোরে একবার দেস।
মাগি বুরখা খুল,মাগী বেরহা খুল।,"মাগি, বোরকা খোল।",মাগি বুরখা খুল।
মাগি ভালোবাসা চুদায়��,মাগি ভালোবাসা চুদায়।,মাগি ভালোবাসা চুদায়।,মাগি ভালোবাসা চুদায়।
মাগি মহিলা,মাগী বেডী।,মাগি মহিলা।,মাগি মহিলা।
মাগি সোব জানে,মাগী বেজ্ঞিন জানে।,মাগি বেক জানে।,মাগি সব জানে।
মাগির ঢং কতো,মাগীর ঢং হত।,মাগির ঢং কেইচ্ছা।,মাগির ঢং কতো।
মাগির পুত মজা নিছো আর এখোন মিথ্যাকতা বলো।,মাগীর ফুয়া মজা লর এজু মিছা হতা হর।,"মাগির হুত মজা নিচ্ছস, আর ওনগা মিথ্যাকতা বচ।",মাগির পুত মজা নিছো আর এখোন মিথ্যাকতা কয়।
মাগিরে আর মাগির পুলারে এই দুইটারেই ডিম থ্যারাপি দেওয়া হোক।,মাগীরে এদ্দের মাগীর ফুয়ারে ডিম থেরাফি দন দরহার।,"মাগিরে আর মাগির হুলারে, এই দুগারেই ডিম থ্যারাপি দেওন য়ক।",মাগিরে আর মাগির পুলারে এই দুইটারেই ডিম থ্যারাপি দেওয়া হোক।
মাগী চোদা দিতে ভালো লাগলো,মাগী চোদা দিতে গম লাইজ্ঞি।,মাগী চোদা দিতে ভালা লাইগজে।,মাগী চোদা দিতে ভালো লাগলো।
মাগী টাকে রিমান্ডে নিয়ে বেগুন ভড়া হোক,মাগীরে রিমান্ডত লইয়েরে বাইউন ভরি দন দরহার।,"মাগী টারে রিমান্ডে নি, বেগুন ভরি দে।",মাগী টাকে রিমান্ডে নিয়ে বেগুন ভড়া হোক।
মাগীর পোলারা আটার জনকে না দুই হাজার জনকে দর আমাদের বোন রাফি হত্যা টা কে দামা চাপা দেওয়ার চেষ্টা করিস না প্লিজ।,"মাগীর ফুয়া অক্কল আডার জন ন দুইজনরে ধর আগে আরার বইন রাফি হত্যা ইবে ধামা চাফা দিবের চেষ্টা ন গরিছ, প্লিজ।","মাগীর হোলারা আটার জনকে না, দুই হাজার জনকে দর। আনগোর বোন রাফি হত্যা গা রে দামা চাপা দেওয়ওন চেষ্টা করিচ্ছা, প্লিজ।",মাগীর পোলারা আটার জনকে না দুই হাজার জনকে দর মোদের বোন রাফি হত্যা টা কে দামা চাপা দেওয়ার চেষ্টা হরিস না প্লিজ।
মাগীরে জুতা দিয়া বাইরাইয়া গাছে ঝুলাইয়া জনগণের সামনে দেখানো উচিত এ ধরনের কর্ম কাজ যেন কখনো না করে আর কেউ,মাগীরে গাছত বান্ধি জনগনরে দেহন উচিত যাতে এইল্লে হাম আর কেই ন গরে।,"মাগীরে জুতা দি বাইরাই গাছে ঝুলাই, জনগণের সামনে দেখওন। এর উচিত এ ধরনের কার্ম কাজ যেন জীবনে না করে আর কোনোগা।",মাগীরে জোতা দিয়া বাইরাইয়া গাছে ঝুলাইয়া জনগণের সামনে দেহানো উচিৎ এ রহনের কাম কাম যেন কহনো না হরে আর কেউ।
মাদার চোদ মিন্নিরে তুই বিয়া করবি তাই মননির সাফট করছ।,মাদারিসুদ মিন্নিরে তুই বিয়া গরিবি এতাল্লাই দরফরর।,"মাদার চোদ, মিন্নিরে তুই বিয়া করবি? হিরলাই মননির সাফট করছ।",মাদার চোদ মিন্নিরে তুই বিয়া হরবি তাই মিন্নির সাফট করছ।
মাদারচদ,মাদাারিসুদ।,মাদারচদ,মাদারচোদ।
মাদারচুদ এদের কি শাস্তি হওয়া উচিৎ,মাদারচুদ ইতারার কি শাস্তি হওয়া উচিৎ?,"মাদারচুদ, এগুন এর কি শাস্তি হওয়ন উচিৎ?",মাদারচুদ এদের কি শাস্তি হওয়া উচিৎ।
মাদারচোদ কে লেংটা করে পিঠানোর দরকার।।,মাদারিচুদরে লেন্ডা গরি মারা দরহার।,"মাদারচোদ রে, লেংটা করি পিঠানোর দরকার।",মাদারচোদ কে লেংটা হইড়া পিঠানো দরকার।।
মাদারচোদেরা দ্বারে দ্বারে তামশা দেখছো আর প্রতিবাদ করার সাহস নাই খানকির পোলারা তোরা নাটক তারা কি কি ভাবছিস নাটক ভার্সেস এই মাদারচোদেরা শালা কাপুরুষের বাচ্চারা,"মাদারচুোদ অক্কল তিয়েই তিয়েই টশা চর, আর ফতিবাদ গরিবের সাহস নাই। মাদারচোদ তোরা নাটক চরদে না, মনে গরর দে নাটক ভার্সেস মাদারিচুদ অক্কল। আলা কাফুরুশ অককল।","মাদারচোদেরা দ্বারে দ্বারে তামশা দেখছ, আর প্রতিবাদ করার সাহস নাই। খানকির হোলারা, তোরা নাটক? তারা কি কি ভাবছস? নাটক ভার্সেস এই মাদারচোদেরা? হালা কাপুরুষের বাচ্চারা।",মাদারচোদেরা দ্বারে দ্বারে তামশা দেখছো আর প্রতিবাদ হরার সাহস নাই খানকির পোলারা তোরা নাটক তারা কি কি ভাবছিস নাটক ভার্সেস এই মাদারচোদেরা হালা কাপুরুষের বাচ্চারা
মাদারি বাচ্চা কে জুতা দিয়ে মেরে লেন্টা বাহির করে দেন।,মাদারিসুুদরে জুতা দি মারি লেন্ডা বাইর গরি দন।,"মাদারি বাচ্চা রে, জুতা দি মেরি লেন্টা বাহির করি দে।",মাদারি বাচ্চা কে জোতা দিয়া মাইরা লেন্টা বাহির হইর‍্যা দেন।
